Time,silver price
28-12-2014,22
04-01-2015,22
11-01-2015,22
18-01-2015,25
25-01-2015,24
01-02-2015,25
08-02-2015,23
15-02-2015,24
22-02-2015,21
01-03-2015,20
08-03-2015,20
15-03-2015,23
22-03-2015,21
29-03-2015,20
05-04-2015,22
12-04-2015,21
19-04-2015,24
26-04-2015,22
03-05-2015,20
10-05-2015,20
17-05-2015,22
24-05-2015,19
31-05-2015,20
07-06-2015,18
14-06-2015,24
21-06-2015,28
28-06-2015,25
05-07-2015,58
12-07-2015,100
19-07-2015,90
26-07-2015,80
02-08-2015,50
09-08-2015,40
16-08-2015,39
23-08-2015,39
30-08-2015,35
06-09-2015,32
13-09-2015,34
20-09-2015,35
27-09-2015,32
04-10-2015,37
11-10-2015,35
18-10-2015,33
25-10-2015,33
01-11-2015,39
08-11-2015,50
15-11-2015,34
22-11-2015,30
29-11-2015,28
06-12-2015,28
13-12-2015,31
20-12-2015,27
27-12-2015,26
27-12-2015,54
03-01-2016,55
10-01-2016,50
17-01-2016,51
24-01-2016,50
31-01-2016,57
07-02-2016,73
14-02-2016,60
21-02-2016,57
28-02-2016,55
06-03-2016,50
13-03-2016,50
20-03-2016,46
27-03-2016,45
03-04-2016,50
10-04-2016,53
17-04-2016,63
24-04-2016,59
01-05-2016,59
08-05-2016,54
15-05-2016,44
22-05-2016,49
29-05-2016,49
05-06-2016,48
12-06-2016,51
19-06-2016,54
26-06-2016,64
03-07-2016,82
10-07-2016,66
17-07-2016,57
24-07-2016,56
31-07-2016,60
07-08-2016,56
14-08-2016,51
21-08-2016,54
28-08-2016,49
04-09-2016,56
11-09-2016,47
18-09-2016,46
25-09-2016,45
02-10-2016,58
09-10-2016,61
16-10-2016,58
23-10-2016,100
30-10-2016,63
06-11-2016,63
13-11-2016,52
20-11-2016,49
27-11-2016,50
04-12-2016,45
11-12-2016,46
18-12-2016,45
25-12-2016,44
25-12-2016,38
01-01-2017,35
08-01-2017,36
15-01-2017,34
22-01-2017,33
29-01-2017,37
05-02-2017,33
12-02-2017,34
19-02-2017,31
26-02-2017,33
05-03-2017,30
12-03-2017,30
19-03-2017,30
26-03-2017,30
02-04-2017,31
09-04-2017,30
16-04-2017,30
23-04-2017,32
30-04-2017,37
07-05-2017,38
14-05-2017,36
21-05-2017,34
28-05-2017,34
04-06-2017,35
11-06-2017,35
18-06-2017,36
25-06-2017,37
02-07-2017,40
09-07-2017,48
16-07-2017,40
23-07-2017,38
30-07-2017,41
06-08-2017,43
13-08-2017,37
20-08-2017,38
27-08-2017,39
03-09-2017,41
10-09-2017,40
17-09-2017,39
24-09-2017,41
01-10-2017,43
08-10-2017,53
15-10-2017,100
22-10-2017,45
29-10-2017,39
05-11-2017,37
12-11-2017,35
19-11-2017,38
26-11-2017,41
03-12-2017,41
10-12-2017,44
17-12-2017,39
24-12-2017,41
31-12-2017,38
31-12-2017,43
07-01-2018,43
14-01-2018,43
21-01-2018,43
28-01-2018,45
04-02-2018,50
11-02-2018,44
18-02-2018,40
25-02-2018,37
04-03-2018,40
11-03-2018,38
18-03-2018,39
25-03-2018,37
01-04-2018,41
08-04-2018,42
15-04-2018,52
22-04-2018,42
29-04-2018,40
06-05-2018,39
13-05-2018,36
20-05-2018,36
27-05-2018,37
03-06-2018,36
10-06-2018,35
17-06-2018,35
24-06-2018,32
01-07-2018,36
08-07-2018,37
15-07-2018,38
22-07-2018,38
29-07-2018,42
05-08-2018,39
12-08-2018,43
19-08-2018,47
26-08-2018,42
02-09-2018,41
09-09-2018,40
16-09-2018,36
23-09-2018,35
30-09-2018,39
07-10-2018,37
14-10-2018,43
21-10-2018,42
28-10-2018,54
04-11-2018,100
11-11-2018,48
18-11-2018,39
25-11-2018,45
02-12-2018,44
09-12-2018,40
16-12-2018,37
23-12-2018,38
30-12-2018,36
30-12-2018,25
06-01-2019,28
13-01-2019,26
20-01-2019,25
27-01-2019,27
03-02-2019,28
10-02-2019,28
17-02-2019,27
24-02-2019,25
03-03-2019,24
10-03-2019,24
17-03-2019,24
24-03-2019,22
31-03-2019,27
07-04-2019,25
14-04-2019,24
21-04-2019,24
28-04-2019,27
05-05-2019,30
12-05-2019,27
19-05-2019,27
26-05-2019,27
02-06-2019,30
09-06-2019,26
16-06-2019,28
23-06-2019,26
30-06-2019,23
07-07-2019,25
14-07-2019,31
21-07-2019,32
28-07-2019,32
04-08-2019,42
11-08-2019,46
18-08-2019,40
25-08-2019,61
01-09-2019,70
08-09-2019,61
15-09-2019,55
22-09-2019,48
29-09-2019,48
06-10-2019,48
13-10-2019,54
20-10-2019,100
27-10-2019,51
03-11-2019,43
10-11-2019,37
17-11-2019,36
24-11-2019,35
01-12-2019,33
08-12-2019,34
15-12-2019,32
22-12-2019,33
29-12-2019,37
29-12-2019,16
05-01-2020,22
12-01-2020,16
19-01-2020,16
26-01-2020,17
02-02-2020,16
09-02-2020,16
16-02-2020,18
23-02-2020,23
01-03-2020,20
08-03-2020,27
15-03-2020,92
22-03-2020,38
29-03-2020,22
05-04-2020,15
12-04-2020,16
19-04-2020,14
26-04-2020,14
03-05-2020,17
10-05-2020,17
17-05-2020,24
24-05-2020,22
31-05-2020,25
07-06-2020,24
14-06-2020,22
21-06-2020,23
28-06-2020,23
05-07-2020,26
12-07-2020,27
19-07-2020,53
26-07-2020,73
02-08-2020,86
09-08-2020,100
16-08-2020,72
23-08-2020,60
30-08-2020,49
06-09-2020,42
13-09-2020,38
20-09-2020,49
27-09-2020,45
04-10-2020,39
11-10-2020,38
18-10-2020,37
25-10-2020,41
01-11-2020,40
08-11-2020,79
15-11-2020,45
22-11-2020,42
29-11-2020,42
06-12-2020,37
13-12-2020,36
20-12-2020,39
27-12-2020,35
27-12-2020,55
03-01-2021,63
10-01-2021,68
17-01-2021,58
24-01-2021,61
31-01-2021,100
07-02-2021,72
14-02-2021,69
21-02-2021,69
28-02-2021,75
07-03-2021,71
14-03-2021,55
21-03-2021,55
28-03-2021,55
04-04-2021,53
11-04-2021,46
18-04-2021,43
25-04-2021,37
02-05-2021,41
09-05-2021,43
16-05-2021,42
23-05-2021,40
30-05-2021,45
06-06-2021,44
13-06-2021,47
20-06-2021,44
27-06-2021,44
04-07-2021,42
11-07-2021,41
18-07-2021,39
25-07-2021,39
01-08-2021,42
08-08-2021,59
15-08-2021,54
22-08-2021,47
29-08-2021,40
05-09-2021,42
12-09-2021,43
19-09-2021,48
26-09-2021,44
03-10-2021,43
10-10-2021,46
17-10-2021,50
24-10-2021,54
31-10-2021,93
07-11-2021,47
14-11-2021,41
21-11-2021,41
28-11-2021,39
05-12-2021,38
12-12-2021,36
19-12-2021,32
26-12-2021,33
26-12-2021,33
02-01-2022,33
09-01-2022,33
16-01-2022,36
23-01-2022,40
30-01-2022,43
06-02-2022,39
13-02-2022,43
20-02-2022,52
27-02-2022,50
06-03-2022,61
13-03-2022,47
20-03-2022,44
27-03-2022,37
03-04-2022,38
10-04-2022,42
17-04-2022,42
24-04-2022,43
01-05-2022,50
08-05-2022,48
15-05-2022,46
22-05-2022,42
29-05-2022,41
05-06-2022,40
12-06-2022,39
19-06-2022,37
26-06-2022,38
03-07-2022,48
10-07-2022,51
17-07-2022,54
24-07-2022,57
31-07-2022,54
07-08-2022,54
14-08-2022,49
21-08-2022,51
28-08-2022,67
04-09-2022,58
11-09-2022,59
18-09-2022,52
25-09-2022,53
02-10-2022,65
09-10-2022,63
16-10-2022,100
23-10-2022,67
30-10-2022,50
06-11-2022,48
13-11-2022,49
20-11-2022,42
27-11-2022,47
04-12-2022,48
11-12-2022,49
18-12-2022,47
25-12-2022,46
25-12-2022,48
01-01-2023,47
08-01-2023,44
15-01-2023,45
22-01-2023,47
29-01-2023,53
05-02-2023,52
12-02-2023,45
19-02-2023,45
26-02-2023,43
05-03-2023,46
12-03-2023,46
19-03-2023,46
26-03-2023,44
02-04-2023,48
09-04-2023,53
16-04-2023,49
23-04-2023,45
30-04-2023,42
07-05-2023,42
14-05-2023,42
21-05-2023,42
28-05-2023,42
04-06-2023,41
11-06-2023,44
18-06-2023,42
25-06-2023,45
02-07-2023,42
09-07-2023,42
16-07-2023,43
23-07-2023,43
30-07-2023,44
06-08-2023,46
13-08-2023,49
20-08-2023,48
27-08-2023,52
03-09-2023,45
10-09-2023,43
17-09-2023,45
24-09-2023,44
01-10-2023,62
08-10-2023,53
15-10-2023,51
22-10-2023,52
29-10-2023,53
05-11-2023,100
12-11-2023,56
19-11-2023,45
26-11-2023,49
03-12-2023,49
10-12-2023,48
17-12-2023,41
24-12-2023,40
31-12-2023,43
31-12-2023,29
07-01-2024,28
14-01-2024,26
21-01-2024,25
28-01-2024,20
04-02-2024,20
11-02-2024,21
18-02-2024,19
25-02-2024,19
03-03-2024,20
10-03-2024,20
17-03-2024,20
24-03-2024,18
31-03-2024,28
07-04-2024,35
14-04-2024,32
21-04-2024,28
28-04-2024,26
05-05-2024,27
12-05-2024,26
19-05-2024,39
26-05-2024,32
02-06-2024,28
09-06-2024,28
16-06-2024,23
23-06-2024,22
30-06-2024,25
07-07-2024,26
14-07-2024,28
21-07-2024,43
28-07-2024,37
04-08-2024,37
11-08-2024,34
18-08-2024,34
25-08-2024,28
01-09-2024,28
08-09-2024,28
15-09-2024,30
22-09-2024,30
29-09-2024,32
06-10-2024,36
13-10-2024,39
20-10-2024,65
27-10-2024,100
03-11-2024,55
10-11-2024,51
17-11-2024,40
24-11-2024,36
01-12-2024,31
08-12-2024,30
15-12-2024,30
22-12-2024,27
29-12-2024,28
29-12-2024,9
05-01-2025,8
12-01-2025,8
19-01-2025,9
26-01-2025,9
02-02-2025,10
09-02-2025,11
16-02-2025,10
23-02-2025,10
02-03-2025,9
09-03-2025,9
16-03-2025,11
23-03-2025,9
30-03-2025,12
06-04-2025,16
13-04-2025,11
20-04-2025,11
27-04-2025,13
04-05-2025,10
11-05-2025,10
18-05-2025,9
25-05-2025,8
01-06-2025,10
08-06-2025,11
15-06-2025,10
22-06-2025,10
29-06-2025,10
06-07-2025,10
13-07-2025,12
20-07-2025,12
27-07-2025,12
03-08-2025,14
10-08-2025,11
17-08-2025,11
24-08-2025,12
31-08-2025,17
07-09-2025,16
14-09-2025,16
21-09-2025,22
28-09-2025,31
05-10-2025,48
12-10-2025,100
19-10-2025,88
26-10-2025,56
02-11-2025,37
09-11-2025,33
16-11-2025,29
23-11-2025,27
30-11-2025,33
07-12-2025,38
14-12-2025,41
21-12-2025,63
28-12-2025,96
28-12-2025,39
04-01-2026,25
11-01-2026,30
18-01-2026,50
25-01-2026,100
01-02-2026,97
08-02-2026,37
15-02-2026,30
