date,High,Low
2015-01-05,32988.28753969115,32988.28753969115
2015-01-06,33934.90308941609,33934.90308941609
2015-01-07,33615.065886517594,33472.88797340428
2015-01-08,32946.711366265175,32946.711366265175
2015-01-09,32834.164323272795,32834.164323272795
2015-01-12,33031.72361692257,33031.72361692257
2015-01-13,34216.57972575433,33966.82366936196
2015-01-14,33902.07706187544,33790.110318030296
2015-01-15,34326.342931134786,33987.0707998359
2015-01-16,35347.466629859606,33626.83918153126
2015-01-19,35253.884683294695,33537.81257319224
2015-01-20,35710.180526307326,35605.03488261907
2015-01-21,36185.66283883499,35591.15352192465
2015-01-22,36395.90307932925,36395.90307932925
2015-01-23,36255.89674397236,36115.65497046982
2015-01-26,35489.49489212998,35489.49489212998
2015-01-27,35758.102608515044,35675.17418712145
2015-01-28,35673.024859780926,35673.024859780926
2015-01-29,34763.47191163179,33337.12328589297
2015-01-30,34199.108944920066,33439.21719280853
2015-02-02,34248.631190197375,34248.631190197375
2015-02-03,34740.3355967198,34314.01269380347
2015-02-04,34945.64996089239,34506.84246452815
2015-02-05,34310.476010070364,34102.05342940674
2015-02-06,33086.17825420503,33086.17825420503
2015-02-09,34087.71466631663,34087.71466631663
2015-02-10,33712.91677242041,33712.91677242041
2015-02-11,33515.84314454885,33515.84314454885
2015-02-12,33813.88884564348,33609.564640450444
2015-02-13,34549.33375368807,33813.47567025563
2015-02-16,34531.279997807454,33795.806437049054
2015-02-17,32700.589793663632,32700.589793663632
2015-02-18,32570.16493320687,32570.16493320687
2015-02-19,32880.83557497946,32740.530114772777
2015-02-20,32866.867683316574,32532.7982503853
2015-02-23,32706.686467522042,32550.413581607387
2015-02-24,32361.65722973263,32361.65722973263
2015-02-25,32721.533163866246,32721.533163866246
2015-02-26,33475.64003063941,32741.000976260788
2015-02-27,33106.217191248725,32599.1866931501
2015-03-02,33279.43224002336,32453.913306953847
2015-03-03,32856.37582705374,32030.240469653272
2015-03-04,32629.0836239485,32178.685196280727
2015-03-05,32553.245310426406,32247.40296437923
2015-03-06,32323.36408261372,31473.800951167417
2015-03-09,31992.227802549187,31549.845732976
2015-03-10,31780.05989086113,31513.628200404863
2015-03-11,31568.780155103083,30821.948646904635
2015-03-12,31284.130363710254,31083.141271529952
2015-03-13,31620.663037736187,31327.13035572335
2015-03-16,31734.665217227815,31300.496728663977
2015-03-17,31525.36014771085,31232.991002481253
2015-03-18,32048.185126584118,31191.552764649983
2015-03-19,32361.344988473687,31878.93840036998
2015-03-20,33875.97170162629,32646.817611333023
2015-03-23,33987.11234285618,33376.44492585096
2015-03-24,34022.13577250149,33741.95469940228
2015-03-25,34160.14531341434,33969.75573674444
2015-03-26,34907.17364002198,34363.164840772566
2015-03-27,34220.773959758895,34136.48670685949
2015-03-30,33764.796482609694,33563.2788283936
2015-03-31,33455.506652276934,33316.86171655656
2015-04-01,34247.188551098196,33395.22891153694
2015-04-02,33527.84530668102,33527.84530668102
2015-04-03,33527.84530668102,33527.84530668102
2015-04-06,34179.995604942844,34060.03178133464
2015-04-07,33675.966450617954,33675.966450617954
2015-04-08,32900.08626818256,32900.08626818256
2015-04-09,32348.422706631347,32348.422706631347
2015-04-10,32859.58095477379,32799.47440966532
2015-04-13,32718.59575038856,32718.59575038856
2015-04-14,32459.335824475016,32459.335824475016
2015-04-15,32623.936970086317,32623.936970086317
2015-04-16,32621.3099970425,32350.88418449784
2015-04-17,32525.02683208765,32525.02683208765
2015-04-20,32128.153684331766,32128.153684331766
2015-04-21,32336.095803681612,32170.392553740417
2015-04-22,31898.95289306699,31898.95289306699
2015-04-23,32215.514739700662,32215.514739700662
2015-04-24,31941.34342308215,31941.34342308215
2015-04-27,33454.758668648385,32526.02887586333
2015-04-28,33674.220208509854,33674.220208509854
2015-04-29,33960.34541740149,33349.73240921236
2015-04-30,34052.62425088904,32248.03674463838
2015-05-01,33012.69339049525,32431.55418407463
2015-05-04,34042.426676900955,32931.12835553029
2015-05-05,33796.86468209842,33348.14487760025
2015-05-06,33799.067784902574,33461.9945239317
2015-05-07,33727.36814502795,33520.83111525267
2015-05-08,33825.503805743916,33547.9923638119
2015-05-11,33822.918621979814,33289.14221047469
2015-05-12,34123.18088794506,33638.35816170955
2015-05-13,35411.45263016458,34007.916330384774
2015-05-14,35710.323825915715,35047.241468001994
2015-05-15,35827.82258735544,35398.98940152332
2015-05-18,36288.43034364093,36048.71899443841
2015-05-19,35754.974286373465,34608.523308405056
2015-05-20,35089.540545189615,35073.121662150006
2015-05-21,35161.74597754507,34916.21952472958
2015-05-22,34901.43584138064,34778.90409811508
2015-05-25,34928.194341466835,34805.56865462608
2015-05-26,35132.242195216095,34420.54550662338
2015-05-27,34368.50613145127,34251.166951135674
2015-05-28,34361.90862764641,33961.875093558716
2015-05-29,34248.21271195291,34207.17137522983
2015-06-01,35026.31614781089,34032.87846763027
2015-06-02,34439.051405189675,34439.051405189675
2015-06-03,33828.1262512884,33634.98733690126
2015-06-04,33203.39078077642,33108.73070960814
2015-06-05,32919.294161465965,32673.322077815596
2015-06-08,33090.9774068379,32761.30421182693
2015-06-09,32822.1025630497,32778.94281744257
2015-06-10,32744.077630094922,32744.077630094922
2015-06-11,32812.808185342954,32796.352676592
2015-06-12,32945.47776514998,32580.90439132829
2015-06-15,33421.11173841906,33165.294700199556
2015-06-16,32965.467126367905,32965.467126367905
2015-06-17,32859.09698571628,32859.09698571628
2015-06-18,33087.99510365703,33087.99510365703
2015-06-19,32910.49049204879,32910.49049204879
2015-06-22,32951.31278666198,32875.76234919208
2015-06-23,32361.281298513313,32171.102362187896
2015-06-24,32418.806031069646,32388.136695362526
2015-06-25,32330.546222026747,32330.546222026747
2015-06-26,32196.206717896104,32175.74667730921
2015-06-29,32837.48509628739,32098.411420426943
2015-06-30,32272.285438527906,31556.03230685321
2015-07-01,31982.96724924988,31676.22407259539
2015-07-02,32048.761975903777,31538.268783819287
2015-07-03,32010.91655731385,31501.026191277873
2015-07-06,32057.711169407983,31566.428319373084
2015-07-07,31818.242864810974,30206.417906873987
2015-07-08,30970.571671781367,30138.391095663254
2015-07-09,31467.248811243022,30855.8400746935
2015-07-10,31767.77540850766,31247.994443164396
2015-07-13,31642.858688925648,31244.643275354912
2015-07-14,31347.44023196688,31174.193574249028
2015-07-15,30678.575589205455,30566.423311956663
2015-07-16,30610.376178326238,30557.282749813596
2015-07-17,30478.233515026426,30243.548624089377
2015-07-20,30509.880576106974,29650.158845194223
2015-07-21,30311.744335021314,29862.226854019227
2015-07-22,30077.51873559124,30077.51873559124
2015-07-23,30102.662970023364,30004.25601926543
