,ES,ELM,SVR,RF,ARIMA,MLP,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,1.0,1.0,1.0,1.0,0.0607,1.0,1.0,1.0,1.0,1.0,1.0
ELM,0.0,,1.0,0.0,1.0,0.0208,1.0,1.0,0.0,0.9999,0.0,1.0
SVR,0.0,0.0,,0.0,1.0,0.0204,1.0,1.0,0.0,0.9999,0.0,1.0
RF,0.0,1.0,1.0,,1.0,0.021,1.0,1.0,0.0,1.0,0.0,1.0
ARIMA,0.0,0.0,0.0,0.0,,0.0191,0.0001,0.9631,0.0,0.0002,0.0,0.9585
MLP,0.9393,0.9792,0.9796,0.979,0.9809,,0.9797,0.9809,0.9784,0.9806,0.9785,0.9809
LSTM,0.0,0.0,0.0,0.0,0.9999,0.0203,,0.9999,0.0,0.9998,0.0,0.9999
VMD-ARIMA,0.0,0.0,0.0,0.0,0.0369,0.0191,0.0001,,0.0,0.0002,0.0,0.0328
VMD-LSTM,0.0,1.0,1.0,1.0,1.0,0.0216,1.0,1.0,,1.0,0.7272,1.0
CEEMDAN-ARIMA,0.0,0.0001,0.0001,0.0,0.9998,0.0194,0.0002,0.9998,0.0,,0.0,0.9998
CEEMDAN-LSTM,0.0,1.0,1.0,1.0,1.0,0.0215,1.0,1.0,0.2728,1.0,,1.0
Proposed,0.0,0.0,0.0,0.0,0.0415,0.0191,0.0001,0.9672,0.0,0.0002,0.0,
