date,mcx_silver
2008-01-06,52665.0
2008-01-13,52971.0
2008-01-20,53115.0
2008-01-27,53455.0
2008-02-03,57163.0
2008-02-10,56659.0
2008-02-17,59801.0
2008-02-24,62050.0
2008-03-02,62213.0
2008-03-09,62025.0
2008-03-16,60899.0
2008-03-23,60915.0
2008-03-30,60338.0
2008-04-06,60808.0
2008-04-13,59229.0
2008-04-20,59035.0
2008-04-27,58986.0
2008-05-04,59509.0
2008-05-11,58365.0
2008-05-18,60505.0
2008-05-25,61107.0
2008-06-01,61821.0
2008-06-08,63106.0
2008-06-15,61286.0
2008-06-22,60800.0
2008-06-29,60699.0
2008-07-06,60588.0
2008-07-13,57150.0
2008-07-20,56620.0
2008-07-27,58079.0
2008-08-03,57154.0
2008-08-10,57215.0
2008-08-17,58548.0
2008-08-24,58582.0
2008-08-31,57243.0
2008-09-07,57871.0
2008-09-14,57806.0
2008-09-21,56935.0
2008-09-28,55949.0
2008-10-05,53811.0
2008-10-12,53991.0
2008-10-19,54188.0
2008-10-26,54055.0
2008-11-02,53620.0
2008-11-09,53675.0
2008-11-16,53582.0
2008-11-23,52276.0
2008-11-30,51474.0
2008-12-07,51460.0
2008-12-14,44415.0
2008-12-21,44444.0
2008-12-28,45350.0
2009-01-04,44578.0
2009-01-11,44512.0
2009-01-18,45102.0
2009-01-25,42847.0
2009-02-01,43542.0
2009-02-08,43305.0
2009-02-15,43550.0
2009-02-22,43067.0
2009-03-01,43734.0
2009-03-08,44068.0
2009-03-15,41682.0
2009-03-22,40408.0
2009-03-29,40652.0
2009-04-05,39842.0
2009-04-12,41021.0
2009-04-19,40050.0
2009-04-26,41367.0
2009-05-03,40911.0
2009-05-10,41610.0
2009-05-17,41436.0
2009-05-24,45930.0
2009-05-31,50480.0
2009-06-07,53109.0
2009-06-14,53704.0
2009-06-21,54372.0
2009-06-28,53587.0
2009-07-05,49572.0
2009-07-12,50368.0
2009-07-19,48490.0
2009-07-26,48800.0
2009-08-02,47904.0
2009-08-09,47007.0
2009-08-16,45917.0
2009-08-23,48489.0
2009-08-30,48952.0
2009-09-06,48121.0
2009-09-13,48817.0
2009-09-20,48319.0
2009-09-27,47195.0
2009-10-04,44906.0
2009-10-11,44834.0
2009-10-18,42900.0
2009-10-25,43080.0
2009-11-01,43445.0
2009-11-08,43233.0
2009-11-15,43113.0
2009-11-22,43938.0
2009-11-29,44850.0
2009-12-06,43546.0
2009-12-13,44169.0
2009-12-20,44126.0
2009-12-27,44530.0
2010-01-03,44071.0
2010-01-10,43178.0
2010-01-17,44123.0
2010-01-24,45461.0
2010-01-31,47394.0
2010-02-07,47612.0
2010-02-14,46586.0
2010-02-21,46354.0
2010-02-28,46368.0
2010-03-07,45760.0
2010-03-14,44643.0
2010-03-21,42635.0
2010-03-28,42890.0
2010-04-04,42698.0
2010-04-11,43110.0
2010-04-18,42277.0
2010-04-25,42456.0
2010-05-02,42461.0
2010-05-09,41360.0
2010-05-16,41251.0
2010-05-23,41658.0
2010-05-30,41038.0
2010-06-06,40583.0
2010-06-13,40092.0
2010-06-20,39753.0
2010-06-27,40358.0
2010-07-04,41525.0
2010-07-11,44126.0
2010-07-18,44225.0
2010-07-25,44129.0
2010-08-01,44643.0
2010-08-08,45571.0
2010-08-15,44250.0
2010-08-22,44785.0
2010-08-29,43821.0
2010-09-05,44203.0
2010-09-12,43394.0
2010-09-19,43388.0
2010-09-26,43131.0
2010-10-03,42136.0
2010-10-10,42060.0
2010-10-17,42193.0
2010-10-24,41538.0
2010-10-31,40549.0
2010-11-07,40717.0
2010-11-14,38810.0
2010-11-21,38890.0
2010-11-28,38157.0
2010-12-05,38428.0
2010-12-12,38356.0
2010-12-19,38346.0
2010-12-26,38241.0
2011-01-02,37881.0
2011-01-09,35680.0
2011-01-16,34562.0
2011-01-23,34321.0
2011-01-30,35974.0
2011-02-06,36169.0
2011-02-13,35678.0
2011-02-20,36449.0
2011-02-27,37633.0
2011-03-06,37844.0
2011-03-13,36265.0
2011-03-20,36962.0
2011-03-27,36519.0
2011-04-03,36229.0
2011-04-10,36331.0
2011-04-17,37417.0
2011-04-24,39175.0
2011-05-01,39639.0
2011-05-08,37495.0
2011-05-15,38060.0
2011-05-22,37440.0
2011-05-29,37568.0
2011-06-05,36567.0
2011-06-12,37095.0
2011-06-19,36648.0
2011-06-26,36337.0
2011-07-03,35340.0
2011-07-10,35580.0
2011-07-17,37698.0
2011-07-24,37944.0
2011-07-31,36916.0
2011-08-07,36289.0
2011-08-14,36486.0
2011-08-21,36632.0
2011-08-28,36104.0
2011-09-04,37454.0
2011-09-11,37226.0
2011-09-18,37326.0
2011-09-25,39000.0
2011-10-02,38843.0
2011-10-09,38207.0
2011-10-16,38013.0
2011-10-23,36715.0
2011-10-30,36308.0
2011-11-06,36783.0
2011-11-13,36641.0
2011-11-20,36000.0
2011-11-27,35421.0
2011-12-04,35480.0
2011-12-11,35217.0
2011-12-18,34207.0
2011-12-25,34092.0
2012-01-01,33575.0
2012-01-08,33794.0
2012-01-15,33695.0
2012-01-22,35833.0
