date,mcx_gold
2015-01-01,27167.0
2015-01-02,27167.0
2015-01-05,27468.0
2015-01-06,27468.0
2015-01-07,27730.0
2015-01-08,27997.0
2015-01-09,28168.0
2015-01-12,28017.0
2015-01-13,28017.0
2015-01-14,28017.0
2015-01-15,27775.0
2015-01-16,27930.0
2015-01-19,27630.0
2015-01-20,27630.0
2015-01-21,27907.0
2015-01-22,27955.0
2015-01-23,27731.0
2015-01-26,27666.0
2015-01-27,27666.0
2015-01-28,27343.0
2015-01-29,27295.0
2015-01-30,27276.0
2015-02-02,27069.0
2015-02-03,27069.0
2015-02-04,27189.0
2015-02-05,27189.0
2015-02-06,26660.0
2015-02-09,26655.0
2015-02-10,26655.0
2015-02-11,26429.0
2015-02-12,26499.0
2015-02-13,26547.0
2015-02-16,26309.0
2015-02-17,26559.0
2015-02-18,26559.0
2015-02-19,26745.0
2015-02-20,26553.0
2015-02-23,26545.0
2015-02-24,26545.0
2015-02-25,26545.0
2015-02-26,26139.0
2015-02-27,25882.0
2015-03-02,25872.0
2015-03-03,25872.0
2015-03-04,25838.0
2015-03-05,25646.0
2015-03-06,25596.0
2015-03-09,25925.0
2015-03-10,25925.0
2015-03-11,26056.0
2015-03-12,26231.0
2015-03-13,26267.0
2015-03-16,26484.0
2015-03-17,26484.0
2015-03-18,26278.0
2015-03-19,26232.0
2015-03-20,26169.0
2015-03-23,26169.0
2015-03-24,26169.0
2015-03-25,26851.0
2015-03-26,26714.0
2015-03-27,26697.0
2015-03-30,26550.0
2015-03-31,26550.0
2015-04-01,26544.0
2015-04-02,26544.0
2015-04-03,26544.0
2015-04-06,26654.0
2015-04-07,26605.0
2015-04-08,26605.0
2015-04-09,26730.0
2015-04-10,26687.0
2015-04-13,26610.0
2015-04-14,26780.0
2015-04-15,26780.0
2015-04-16,26632.0
2015-04-17,26866.0
2015-04-20,27047.0
2015-04-21,27047.0
2015-04-22,27047.0
2015-04-23,27047.0
2015-04-24,26762.0
2015-04-27,26904.0
2015-04-28,26845.0
2015-04-29,26845.0
2015-04-30,26848.0
2015-05-01,27100.0
2015-05-04,27412.0
2015-05-05,27252.0
2015-05-06,27252.0
2015-05-07,27596.0
2015-05-08,27441.0
2015-05-11,27212.0
2015-05-12,27225.0
2015-05-13,27225.0
2015-05-14,27066.0
2015-05-15,27032.0
2015-05-18,26858.0
2015-05-19,26843.0
2015-05-20,26843.0
2015-05-21,26772.0
2015-05-22,26914.0
2015-05-25,26798.0
2015-05-26,26556.0
2015-05-27,26556.0
2015-05-28,26628.0
2015-05-29,26731.0
2015-06-01,26687.0
2015-06-02,26700.0
2015-06-03,26700.0
2015-06-04,26630.0
2015-06-05,26846.0
2015-06-08,26844.0
2015-06-09,26884.0
2015-06-10,26884.0
2015-06-11,26716.0
2015-06-12,26509.0
2015-06-15,26322.0
2015-06-16,26349.0
2015-06-17,26349.0
2015-06-18,26544.0
2015-06-19,26356.0
2015-06-22,26042.0
2015-06-23,26148.0
2015-06-24,26148.0
2015-06-25,26086.0
2015-06-26,26081.0
2015-06-29,26026.0
2015-06-30,26014.0
2015-07-01,26014.0
2015-07-02,25922.0
2015-07-03,25858.0
2015-07-06,25708.0
2015-07-07,25693.0
2015-07-08,25693.0
2015-07-09,25248.0
2015-07-10,25059.0
2015-07-13,25010.0
2015-07-14,24599.0
2015-07-15,24599.0
2015-07-16,24951.0
2015-07-17,24800.0
2015-07-20,24684.0
2015-07-21,24592.0
2015-07-22,24592.0
2015-07-23,24830.0
2015-07-24,24696.0
2015-07-27,24562.0
2015-07-28,24668.0
2015-07-29,24668.0
2015-07-30,24761.0
2015-07-31,25264.0
2015-08-03,25710.0
2015-08-04,25690.0
2015-08-05,25690.0
2015-08-06,25804.0
2015-08-07,25919.0
2015-08-10,26351.0
2015-08-11,26802.0
2015-08-12,26802.0
2015-08-13,27166.0
2015-08-14,26700.0
2015-08-17,26245.0
2015-08-18,26371.0
2015-08-19,26371.0
2015-08-20,26556.0
2015-08-21,26718.0
2015-08-24,26326.0
2015-08-25,26325.0
2015-08-26,26325.0
2015-08-27,26401.0
2015-08-28,26280.0
2015-08-31,25952.0
2015-09-01,26001.0
2015-09-02,26001.0
2015-09-03,25902.0
2015-09-04,25859.0
2015-09-07,25859.0
2015-09-08,26377.0
2015-09-09,26377.0
2015-09-10,26630.0
2015-09-11,26177.0
2015-09-14,26424.0
2015-09-15,26424.0
2015-09-16,26424.0
2015-09-17,26334.0
2015-09-18,26145.0
2015-09-21,25754.0
2015-09-22,25754.0
2015-09-23,25754.0
2015-09-24,26127.0
2015-09-25,26242.0
2015-09-28,26247.0
2015-09-29,26388.0
2015-09-30,26388.0
2015-10-01,26620.0
2015-10-02,26469.0
2015-10-05,26934.0
2015-10-06,26876.0
2015-10-07,26876.0
2015-10-08,26711.0
2015-10-09,26852.0
2015-10-12,26852.0
2015-10-13,26764.0
2015-10-14,26764.0
2015-10-15,26669.0
2015-10-16,26652.0
2015-10-19,26654.0
2015-10-20,26461.0
2015-10-21,26461.0
2015-10-22,26387.0
2015-10-23,26232.0
2015-10-26,25803.0
2015-10-27,25854.0
2015-10-28,25854.0
2015-10-29,25800.0
2015-10-30,25743.0
2015-11-02,25743.0
2015-11-03,25743.0
2015-11-04,25743.0
2015-11-05,25610.0
2015-11-06,25304.0
2015-11-09,25240.0
2015-11-10,25488.0
2015-11-11,25488.0
2015-11-12,25225.0
2015-11-13,25296.0
2015-11-16,25338.0
2015-11-17,25263.0
2015-11-18,25263.0
2015-11-19,25049.0
2015-11-20,25235.0
2015-11-23,24887.0
2015-11-24,25143.0
2015-11-25,25143.0
2015-11-26,25547.0
2015-11-27,25315.0
2015-11-30,25324.0
2015-12-01,25231.0
2015-12-02,25231.0
2015-12-03,25344.0
2015-12-04,25250.0
2015-12-07,25136.0
2015-12-08,24954.0
2015-12-09,24954.0
2015-12-10,25221.0
2015-12-11,25307.0
2015-12-14,25307.0
2015-12-15,25307.0
2015-12-16,25307.0
2015-12-17,25153.0
2015-12-18,25196.0
2015-12-21,24994.0
2015-12-22,25042.0
2015-12-23,25042.0
2015-12-24,25292.0
2015-12-25,25292.0
2015-12-28,25648.0
2015-12-29,25887.0
2015-12-30,25858.0
2015-12-31,25858.0
2016-01-01,26003.0
2016-01-04,25576.0
2016-01-05,25576.0
2016-01-06,25576.0
2016-01-07,25576.0
2016-01-08,26056.0
