date,High,Low
2015-01-01,24330.878357741087,23821.65110035848
2015-01-02,24307.835934862636,23799.09093831884
2015-01-05,24608.17289961198,24061.731419837608
2015-01-06,24935.602102657256,24598.358303727877
2015-01-07,24763.437206514765,24588.76121904017
2015-01-08,24495.942639837747,24306.537788409878
2015-01-09,24450.290789392548,24251.91716148115
2015-01-12,24659.425954303464,24353.779151231283
2015-01-13,24761.81543057447,24581.991069971966
2015-01-14,24868.7229657635,24504.82799740182
2015-01-15,25245.826675454533,24493.442143471722
2015-01-16,25455.346176155064,24985.90367305993
2015-01-19,25387.95348658574,24919.75382625781
2015-01-20,25737.121633577586,25270.905387817464
2015-01-21,25831.331281045543,25498.40636595767
2015-01-22,25831.844967135617,25462.84742874596
2015-01-23,25674.430691040536,25532.21052295113
2015-01-26,25492.70532257175,25271.47716492966
2015-01-27,25504.548777881646,25218.247027274803
2015-01-28,25406.26971194083,25388.499847048588
2015-01-29,25570.796376812938,24886.467760862924
2015-01-30,25547.88199756239,25004.816982011675
2015-02-02,25517.066967070532,25157.392254890925
2015-02-03,25474.261574589804,24891.292141229962
2015-02-04,25248.231064751082,24954.37137798091
2015-02-05,25260.92642071657,24967.150003905812
2015-02-06,25146.924099718544,24361.331168518012
2015-02-09,24831.22286419359,24693.30445699753
2015-02-10,24899.19944700757,24623.2073440759
2015-02-11,24767.096474640304,24398.812030800396
2015-02-12,24635.263164049,24396.882759544715
2015-02-13,24651.244727077414,24439.283670048313
2015-02-16,24638.363218055307,24426.51292128593
2015-02-17,24662.345073705532,24042.78859292363
2015-02-18,24256.25354573961,24007.720090667863
2015-02-19,24452.6776729307,24152.029996624173
2015-02-20,24267.069777020926,23987.011262705815
2015-02-23,24107.782899906637,23873.3751759891
2015-02-24,24068.25879724147,23874.273807523736
2015-02-25,23999.244132371463,23927.52182230296
2015-02-26,24203.32367739965,23921.38273038065
2015-02-27,24214.266567998904,23949.813525808993
2015-03-02,24322.03304738709,23967.955657893737
2015-03-03,24127.19147362837,23788.773771440512
2015-03-04,24159.53599115231,23981.376693941198
2015-03-05,24095.599054107846,23905.696792304512
2015-03-06,23901.69738586054,23262.026609259836
2015-03-09,23611.10790943412,23452.25468641523
2015-03-10,23583.247394253012,23343.05464015304
2015-03-11,23454.553538990793,23165.912178535164
2015-03-12,23324.91761377337,23107.84717073955
2015-03-13,23466.49892312348,23332.89098100489
2015-03-16,23471.334758755296,23224.968079654296
2015-03-17,23353.162807318837,23072.894549570265
2015-03-18,23669.299535794114,23119.03724661212
2015-03-19,23549.410000052907,23302.17884246818
2015-03-20,23807.77630977774,23518.563762920574
2015-03-23,23785.972639735075,23649.82299716383
2015-03-24,23875.53410387899,23735.44295658045
2015-03-25,24033.349608982535,23899.074862957546
2015-03-26,24454.160506053944,24141.859687818054
2015-03-27,24078.164530632104,24007.924846995214
2015-03-30,24152.25939202984,23811.68886772439
2015-03-31,23913.152289672264,23674.040364706307
2015-04-01,24276.842300179807,23730.302859806776
2015-04-02,24226.608805557014,24007.592731247525
2015-04-03,24226.608805557014,24007.592731247525
2015-04-06,24476.835701267544,24190.920841153325
2015-04-07,24314.748192259693,24182.644384138468
2015-04-08,24242.80049500967,23966.63091946137
2015-04-09,24065.1938688572,23875.073834134422
2015-04-10,24235.944661699046,23959.444770835682
2015-04-13,24279.68861185299,24082.73540027524
2015-04-14,24128.95798668219,23797.35061130643
2015-04-15,24125.551628357964,23834.7856856184
2015-04-16,24208.077065282043,23929.638619088477
2015-04-17,24181.727844133296,24065.429998159496
2015-04-20,24413.189292536223,24091.56339318726
2015-04-21,24307.641835962146,24103.546246875667
2015-04-22,24293.381724253773,23941.88875594883
2015-04-23,24369.29364862475,24147.383961303556
2015-04-24,24413.2317123613,24002.49648054768
2015-04-27,24630.785329633134,24114.37106756082
2015-04-28,24646.110566334977,24355.797070023647
2015-04-29,24681.040061217143,24463.25519494374
2015-04-30,24589.2566104782,23993.843989646903
2015-05-01,24022.391596315243,23857.226678669602
2015-05-04,24252.808541932864,24010.157618917485
2015-05-05,24449.18575155328,24208.509508199437
2015-05-06,24403.968186451835,24307.954909019736
2015-05-07,24495.198289581556,24365.07944870553
2015-05-08,24443.576989414658,24316.128509966442
2015-05-11,24440.779172761908,24210.84592342338
2015-05-12,24649.562233586996,24544.343645172634
2015-05-13,25074.279602856317,24510.395936148667
2015-05-14,25082.568343087707,24855.401321394696
2015-05-15,25025.361293745078,24806.862604310885
2015-05-18,25161.371210382713,25048.686946553884
2015-05-19,25056.11996546843,24689.66425000402
2015-05-20,24845.857577589366,24728.89094210377
2015-05-21,24644.937064960537,24628.56749001821
2015-05-22,24749.590737628,24594.382979909817
2015-05-25,24768.565943373,24613.23918978264
2015-05-26,24551.43068723755,24395.105052486055
2015-05-27,24413.0655917284,24413.0655917284
2015-05-28,24453.370199495235,24198.989001945025
2015-05-29,24486.754100488717,24330.798586507924
2015-06-01,24661.803334029933,24258.28479458577
2015-06-02,24507.274299180182,24336.95564807819
2015-06-03,24530.733136219944,24226.640632005496
2015-06-04,24391.682773741737,24138.5663671291
2015-06-05,24131.935188334788,23859.31486810166
2015-06-08,24233.062898183092,24088.830737815286
2015-06-09,24257.939016939537,24101.73915432736
2015-06-10,24428.740476565075,24131.10435844332
2015-06-11,24336.55918987275,24155.55855832612
2015-06-12,24329.60112907749,24226.614326949115
2015-06-15,24519.129278055523,24193.16929503795
2015-06-16,24510.293455720417,24291.322943933817
2015-06-17,24454.6733906915,24219.67055648678
2015-06-18,24629.53204623274,24248.41000400895
2015-06-19,24586.816991061914,24517.33334071691
2015-06-22,24458.750816209205,24150.41093407614
2015-06-23,24253.067982702913,24052.6622065964
2015-06-24,24058.005352235814,23937.367223834397
2015-06-25,24054.090071324685,23964.083624029452
2015-06-26,23999.321556664676,23950.213400421173
2015-06-29,24348.394875174818,24097.93178192805
2015-06-30,24074.26523509792,23873.713577575894
2015-07-01,23989.26935783547,23856.347821673946
2015-07-02,23852.283408427305,23594.99533814523
2015-07-03,23824.116964725163,23567.132718182842
2015-07-06,23911.79931518961,23691.638530728935
2015-07-07,23806.044689064835,23453.07441284743
2015-07-08,23785.612196469236,23440.062974470413
2015-07-09,23714.566673330195,23535.221147206856
2015-07-10,23673.46489875788,23593.96852444259
2015-07-13,23668.327519410996,23509.040107563316
2015-07-14,23585.992220985107,23500.38902374331
2015-07-15,23531.456331281046,23343.858195015106
2015-07-16,23406.012152549276,23338.625894403904
2015-07-17,23345.897664250006,23064.276573600477
2015-07-20,23144.931966253105,22416.21608359756
2015-07-21,22606.615831522082,22416.591765693665
2015-07-22,22383.365216133232,22199.392351343096
2015-07-23,22502.678619183138,22301.76334291879
2015-07-24,22663.551247584615,22208.509954333887
2015-07-27,22745.808349542658,22568.381232546304
2015-07-28,22556.783763611937,22528.016982284826
2015-07-29,22536.81934836294,22450.52498260282
2015-07-30,22597.205137685472,22257.474946549428
2015-07-31,22740.01462589432,22251.313149380236
2015-08-03,22589.850565509703,22340.70586911441
2015-08-04,22421.12579819899,22146.472149436562
2015-08-05,22354.78368784267,22188.752873470832
2015-08-06,22391.09099827177,22214.783687764175
2015-08-07,22534.227844462966,22193.637508310836
2015-08-10,22744.196132484714,22372.519169868345
2015-08-11,23051.335176102442,22582.75435240407
2015-08-12,23425.18226244635,22946.054479399423
2015-08-13,23533.54274565727,23297.013197871627
2015-08-14,23383.34726773332,23251.673846994712
2015-08-17,23560.250454128956,23388.064265785815
2015-08-18,23484.656580302362,23308.269165849502
2015-08-19,23804.382496243954,23437.12808757612
2015-08-20,24306.048351711885,23874.00641109427
2015-08-21,24689.70091790313,24351.050926744578
2015-08-24,25047.986560997957,24587.30930602665
2015-08-25,24554.39821884997,24097.522786824633
2015-08-26,24306.70612632019,23809.088001402135
2015-08-27,23939.14981028719,23748.04430769102
2015-08-28,24228.491166588967,23900.906131047817
2015-08-31,24238.801099554716,24042.15578510966
2015-09-01,24369.980554189606,24131.540260742364
2015-09-02,24270.188119050545,24065.879798793616
2015-09-03,24128.346532473923,23859.994011786628
2015-09-04,24043.90245300437,23851.585414728936
2015-09-07,24175.040422139617,23981.674466539764
2015-09-08,24054.964071371276,23885.93908232026
2015-09-09,23989.552397640135,23532.608021145315
2015-09-10,23783.151397752667,23612.280081019824
2015-09-11,23782.69800857671,23493.891282645545
2015-09-14,23641.531139780163,23545.566055464893
2015-09-15,23566.52547140997,23530.253907270406
2015-09-16,23928.88637694449,23713.080355927337
2015-09-17,24155.37589017313,23869.057777250375
2015-09-18,24096.422201106914,23813.483436522292
2015-09-21,24065.035285418042,23902.27762477055
2015-09-22,24041.229282878132,23776.45803526934
2015-09-23,24020.14058802196,23937.402373381097
2015-09-24,24585.196558301253,24098.12882794541
2015-09-25,24455.454283352232,24319.330176704327
2015-09-28,24062.74233288469,24037.26217306734
2015-09-29,24054.962820978184,23840.792746944553
2015-09-30,23744.703972221778,23451.58499804898
2015-10-01,23569.2084492099,23449.151847493868
2015-10-02,24036.80029615557,23291.181281480396
2015-10-05,23969.33040060554,23776.18274470719
2015-10-06,24186.10445769769,23897.97537064697
2015-10-07,24080.29645733103,23873.517449804684
2015-10-08,23994.558686991804,23827.15964829841
2015-10-09,24084.53673673745,23967.985731366458
2015-10-12,24290.906220117726,24063.985188442326
2015-10-13,24440.57543914308,24203.757805851645
2015-10-14,24862.97683540438,24409.21284607239
2015-10-15,24765.703498069262,24546.86997451082
2015-10-16,24674.856500909074,24510.23191448071
2015-10-19,24539.788822578375,24362.68897850938
2015-10-20,24662.100352601436,24444.573042721153
2015-10-21,24632.595235271547,24391.79717396012
2015-10-22,24469.270310406595,24362.48211616056
2015-10-23,24567.065148486417,24246.092534732514
2015-10-26,24437.458806886687,24307.96218178634
2015-10-27,24370.622332573228,24270.36507145498
2015-10-28,24688.4598452624,24529.81293579692
2015-10-29,24397.38614625364,24038.35455635551
2015-10-30,24080.284343117724,23904.02521042083
2015-11-02,24010.685709842113,23882.06131104336
2015-11-03,23951.878500551207,23519.153083797468
2015-11-04,23620.371694103524,23296.14110952144
2015-11-05,23477.41196000287,23344.247304998647
2015-11-06,23458.718520423747,22936.47498548979
2015-11-09,23255.68881244179,23240.735802151423
2015-11-10,23266.460201557715,23132.14348867491
2015-11-11,23268.59167584276,23115.086489329165
2015-11-12,23166.254884833696,23042.60074844151
2015-11-13,23076.724012969677,22968.34319850836
2015-11-16,23178.401019565663,22993.804001989454
2015-11-17,22840.020005583046,22612.84964322902
2015-11-18,22846.821778426955,22678.4381178967
2015-11-19,23032.34221738542,22925.947438662766
2015-11-20,23046.46329708517,22908.12918677604
2015-11-23,22901.165865577834,22800.71382512312
2015-11-24,23017.09023719604,22884.88008149392
2015-11-25,22859.29236259585,22784.658478949317
2015-11-26,22942.009741668946,22867.105791952676
2015-11-27,23056.022537750727,22560.217676514374
2015-11-30,22900.174780209465,22550.79818103284
2015-12-01,22973.88232724858,22734.4384726614
2015-12-02,22902.260999565966,22476.12210005349
2015-12-03,22815.74641200762,22421.41022880891
2015-12-04,23344.431737979838,22699.0701991012
