cumulative_return_pct,annualized_sharpe,max_drawdown_pct,n_trades,blocked_days,total_days,blocked_ratio_pct,hit_rate_active_pct,asset,window_id,start_date,end_date
0.0,0.0,0.0,0,90,90,100.0,,gold,1,2024-03-04,2024-07-05
0.0,0.0,0.0,0,90,90,100.0,,gold,2,2024-04-15,2024-08-16
0.0,0.0,0.0,0,90,90,100.0,,gold,3,2024-05-27,2024-09-27
1.3687,1.6218,-0.05,2,89,90,98.89,100.0,gold,4,2024-07-08,2024-11-08
1.3687,1.6218,-0.05,2,89,90,98.89,100.0,gold,5,2024-08-19,2024-12-20
4.1333,3.1044,-0.05,5,84,90,93.33,83.33,gold,6,2024-09-30,2025-01-31
15.8966,6.28,-0.563,15,56,90,62.22,73.53,gold,7,2024-11-11,2025-03-14
37.4766,7.1757,-2.1072,24,28,90,31.11,67.74,gold,8,2024-12-23,2025-04-25
57.8284,8.7513,-2.1072,36,7,90,7.78,65.06,gold,9,2025-02-03,2025-06-06
56.0609,8.4421,-2.1072,38,8,90,8.89,63.41,gold,10,2025-03-17,2025-07-18
43.721,8.625,-1.2087,36,6,90,6.67,63.1,gold,11,2025-04-28,2025-08-29
46.4638,9.4304,-1.2087,35,4,90,4.44,62.79,gold,12,2025-06-09,2025-10-10
53.4268,8.7931,-1.2317,39,6,90,6.67,55.95,gold,13,2025-07-21,2025-11-21
61.2272,9.0373,-1.2317,42,8,90,8.89,54.88,gold,14,2025-09-01,2026-01-02
72.557,8.0664,-1.2317,43,17,90,18.89,53.42,gold,15,2025-10-13,2026-02-13
82.5844,8.1022,-1.7268,43,20,90,22.22,60.0,gold,16,2025-11-24,2026-03-27
