Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe (annualised),N Trades,N Blocked,Hit Rate (%)
VMD-ARIMA,1,2890.0768,-1.4785,8.6875,196,0,85.78
VMD-ARIMA,1',502.5106,-1.4785,6.6739,148,269,85.51
VMD-ARIMA,2,2908.5708,-1.4785,8.72,228,0,87.65
VMD-ARIMA,2',505.5409,-1.4785,6.7042,160,269,87.68
VMD-LSTM,1,-59.4638,-64.8932,-1.8879,1,0,39.5
VMD-LSTM,1',-49.5228,-55.7173,-2.234,57,269,41.59
VMD-LSTM,2,-59.4638,-64.8932,-1.8879,1,0,39.5
VMD-LSTM,2',-49.5228,-55.7173,-2.234,57,269,41.59
CEEMDAN-ARIMA,1,68.576,-20.6956,1.2505,18,0,54.63
CEEMDAN-ARIMA,1',34.5334,-22.8819,1.0631,61,269,57.01
CEEMDAN-ARIMA,2,69.9534,-20.6956,1.2696,21,0,54.65
CEEMDAN-ARIMA,2',33.8884,-22.8819,1.047,63,269,56.81
CEEMDAN-LSTM,1,-59.4638,-64.8932,-1.8879,1,0,39.5
CEEMDAN-LSTM,1',-49.5228,-55.7173,-2.234,57,269,41.59
CEEMDAN-LSTM,2,-59.4638,-64.8932,-1.8879,1,0,39.5
CEEMDAN-LSTM,2',-49.5228,-55.7173,-2.234,57,269,41.59
Proposed,1,1779.3555,-6.3459,7.1838,164,0,78.56
Proposed,1',413.6102,-2.1072,5.9545,135,269,78.04
Proposed,2,1812.8419,-6.3459,7.2613,193,0,80.52
Proposed,2',414.9939,-2.1072,5.9782,144,269,79.51
