Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe (annualised),N Trades,N Blocked,Hit Rate (%)
ES,1,9.8078,-36.2782,0.3089,8,0,51.92
ES,1',-12.9952,-40.3655,-0.3948,58,269,50.0
ES,2,7.5273,-36.2782,0.263,11,0,51.7
ES,2',-14.7239,-40.3655,-0.4648,59,269,49.77
ELM,1,-59.4638,-64.8932,-1.8879,1,0,39.5
ELM,1',-49.5228,-55.7173,-2.234,57,269,41.59
ELM,2,-59.4638,-64.8932,-1.8879,1,0,39.5
ELM,2',-49.5228,-55.7173,-2.234,57,269,41.59
SVR,1,-59.4638,-64.8932,-1.8879,1,0,39.5
SVR,1',-49.5228,-55.7173,-2.234,57,269,41.59
SVR,2,-59.4638,-64.8932,-1.8879,1,0,39.5
SVR,2',-49.5228,-55.7173,-2.234,57,269,41.59
RF,1,-59.4638,-64.8932,-1.8879,1,0,39.5
RF,1',-49.5228,-55.7173,-2.234,57,269,41.59
RF,2,-59.4638,-64.8932,-1.8879,1,0,39.5
RF,2',-49.5228,-55.7173,-2.234,57,269,41.59
ARIMA,1,0.0,0.0,0.0,0,0,
ARIMA,1',0.0,0.0,0.0,0,269,
ARIMA,2,0.0,0.0,0.0,0,0,
ARIMA,2',0.0,0.0,0.0,0,269,
MLP,1,-57.2983,-63.6217,-1.772,5,0,40.41
MLP,1',-49.5228,-55.7173,-2.234,57,269,41.59
MLP,2,-57.2983,-63.6217,-1.772,5,0,40.41
MLP,2',-49.5228,-55.7173,-2.234,57,269,41.59
LSTM,1,-59.4638,-64.8932,-1.8879,1,0,39.5
LSTM,1',-49.5228,-55.7173,-2.234,57,269,41.59
LSTM,2,-59.4638,-64.8932,-1.8879,1,0,39.5
LSTM,2',-49.5228,-55.7173,-2.234,57,269,41.59
