,ES,ELM,SVR,RF,ARIMA,MLP,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0753,0.0,0.0001
ELM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVR,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMA,0.0001,0.0,0.0,0.0,,0.0,0.0,0.0873,0.0,0.0,0.0,0.076
MLP,0.0,0.0,0.0,0.0,0.0,,0.0071,0.0,0.1664,0.0,0.2588,0.0
LSTM,0.0,0.0,0.0,0.0,0.0,0.0071,,0.0,0.0,0.0,0.0,0.0
VMD-ARIMA,0.0001,0.0,0.0,0.0,0.0873,0.0,0.0,,0.0,0.0,0.0,0.1152
VMD-LSTM,0.0,0.0,0.0,0.0,0.0,0.1664,0.0,0.0,,0.0,0.1044,0.0
CEEMDAN-ARIMA,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
CEEMDAN-LSTM,0.0,0.0,0.0,0.0,0.0,0.2588,0.0,0.0,0.1044,0.0,,0.0
Proposed,0.0001,0.0,0.0,0.0,0.076,0.0,0.0,0.1152,0.0,0.0,0.0,
