,ES,ELM,SVR,RF,ARIMA,MLP,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,5.3644,4.997,5.4731,-4.0216,5.7215,5.6218,-3.9935,6.6516,-1.7821,7.0516,-4.0082
ELM,-5.3644,,-6.0702,-4.6871,-5.2967,5.3113,5.986,-5.2923,8.6806,-5.1705,10.1627,-5.2943
SVR,-4.997,6.0702,,7.1767,-4.9402,5.7625,6.02,-4.9347,7.8124,-4.7314,8.6131,-4.9373
RF,-5.4731,4.6871,-7.1767,,-5.3717,5.404,5.7346,-5.3661,7.8834,-5.2245,8.9043,-5.3687
ARIMA,4.0216,5.2967,4.9402,5.3717,,5.6793,5.5724,-1.7127,6.5246,4.8914,6.8975,-1.7779
MLP,-5.7215,-5.3113,-5.7625,-5.404,-5.6793,,-2.7014,-5.6771,-1.3856,-5.604,-1.1305,-5.6781
LSTM,-5.6218,-5.986,-6.02,-5.7346,-5.5724,2.7014,,-5.5696,4.3356,-5.5018,5.4579,-5.5709
VMD-ARIMA,3.9935,5.2923,4.9347,5.3661,1.7127,5.6771,5.5696,,6.519,4.9908,6.8917,1.5777
VMD-LSTM,-6.6516,-8.6806,-7.8124,-7.8834,-6.5246,1.3856,-4.3356,-6.519,,-6.4702,1.6266,-6.5215
CEEMDAN-ARIMA,1.7821,5.1705,4.7314,5.2245,-4.8914,5.604,5.5018,-4.9908,6.4702,,6.8525,-4.9599
CEEMDAN-LSTM,-7.0516,-10.1627,-8.6131,-8.9043,-6.8975,1.1305,-5.4579,-6.8917,-1.6266,-6.8525,,-6.8942
Proposed,4.0082,5.2943,4.9373,5.3687,1.7779,5.6781,5.5709,-1.5777,6.5215,4.9599,6.8942,
