Scheme,Model,Cumulative Return (%),Avg Daily Return (%),Max Drawdown (%),Sharpe (annualised),N Transactions
Scheme 1,VMD-ARIMA,-14.1759,-0.0146,51.5491,-0.0213,107
Scheme 1,VMD-LSTM,-74.5665,-1.147,76.7964,-1.7187,107
Scheme 1,CEEMDAN-ARIMA,-0.7691,0.1216,49.8333,0.1777,107
Scheme 1,CEEMDAN-LSTM,-57.1507,-0.6606,72.3433,-0.9726,107
Scheme 1,Proposed,-58.2556,-0.6842,72.0314,-1.008,107
Scheme 1',VMD-ARIMA,14.5326,0.1362,13.5559,0.7242,24
Scheme 1',VMD-LSTM,-6.4143,-0.0524,10.3968,-0.2762,24
Scheme 1',CEEMDAN-ARIMA,8.6315,0.0868,14.0404,0.4595,24
Scheme 1',CEEMDAN-LSTM,6.6173,0.0691,9.1043,0.3656,24
Scheme 1',Proposed,21.5455,0.1914,7.2414,1.0242,24
Scheme 2,VMD-ARIMA,-11.1893,0.0157,49.863,0.0231,103
Scheme 2,VMD-LSTM,-74.5665,-1.147,76.7964,-1.7187,107
Scheme 2,CEEMDAN-ARIMA,11.8416,0.2292,43.458,0.3409,105
Scheme 2,CEEMDAN-LSTM,-57.1507,-0.6606,72.3433,-0.9726,107
Scheme 2,Proposed,10.037,0.1086,15.1239,0.3997,59
Scheme 2',VMD-ARIMA,14.5326,0.1362,13.5559,0.7242,24
Scheme 2',VMD-LSTM,-6.4143,-0.0524,10.3968,-0.2762,24
Scheme 2',CEEMDAN-ARIMA,8.6315,0.0868,14.0404,0.4595,24
Scheme 2',CEEMDAN-LSTM,6.6173,0.0691,9.1043,0.3656,24
Scheme 2',Proposed,14.2585,0.1315,7.2414,0.8036,22
