Scheme,Model,Cumulative Return (%),Avg Daily Return (%),Max Drawdown (%),Sharpe (annualised),N Transactions
Scheme 1,ES,164.8108,1.0342,30.9468,1.5488,107
Scheme 1,ARIMA,-7.9093,-0.0688,15.3129,-0.392,15
Scheme 1,SVR,-7.3085,-0.0248,39.1988,-0.0584,86
Scheme 1,RF,124.9166,0.8489,17.195,1.4166,96
Scheme 1,MLP,0.3948,0.1294,34.88,0.1891,107
Scheme 1,ELM,-31.6664,-0.2354,49.9839,-0.3442,107
Scheme 1,LSTM,-31.9021,-0.2386,45.7827,-0.3488,107
Scheme 1',ES,19.4703,0.1754,6.9117,0.9368,24
Scheme 1',ARIMA,-5.691,-0.0513,7.0322,-0.4507,8
Scheme 1',SVR,-18.2088,-0.1783,21.3291,-0.9431,24
Scheme 1',RF,14.4066,0.1346,8.0457,0.725,23
Scheme 1',MLP,-13.4492,-0.1253,17.4522,-0.661,24
Scheme 1',ELM,-11.0223,-0.0996,11.0223,-0.5249,24
Scheme 1',LSTM,7.186,0.0741,12.3016,0.3919,24
Scheme 2,ES,164.8108,1.0342,30.9468,1.5488,107
Scheme 2,ARIMA,0.0,0.0,0.0,0.0,0
Scheme 2,SVR,-12.4214,-0.1168,13.15,-0.7101,22
Scheme 2,RF,122.9628,0.8356,10.3877,1.4337,82
Scheme 2,MLP,0.3438,0.1289,34.88,0.1884,106
Scheme 2,ELM,-31.6664,-0.2354,49.9839,-0.3442,107
Scheme 2,LSTM,-51.0569,-0.567,57.5592,-0.9158,93
Scheme 2',ES,19.4703,0.1754,6.9117,0.9368,24
Scheme 2',ARIMA,0.0,0.0,0.0,0.0,0
Scheme 2',SVR,-5.6631,-0.0527,5.6631,-0.6411,9
Scheme 2',RF,14.4066,0.1346,8.0457,0.725,23
Scheme 2',MLP,-13.4492,-0.1253,17.4522,-0.661,24
Scheme 2',ELM,-11.0223,-0.0996,11.0223,-0.5249,24
Scheme 2',LSTM,-9.2839,-0.0858,12.3016,-0.6113,18
