Scheme,Model,Cumulative Return (%),Avg Daily Return (%),Max Drawdown (%),Sharpe (annualised),N Transactions
Scheme 1,VMD-ARIMA,7.5182,0.1994,50.6279,0.2945,102
Scheme 1,VMD-LSTM,-52.4623,-0.6036,64.6692,-0.8962,102
Scheme 1,CEEMDAN-ARIMA,8.4349,0.2056,45.0913,0.3037,102
Scheme 1,CEEMDAN-LSTM,-70.6649,-1.082,76.5415,-1.6331,102
Scheme 1,Proposed,187.155,1.1556,27.7176,1.7591,102
Scheme 1',VMD-ARIMA,52.1144,0.4229,4.3968,2.0493,30
Scheme 1',VMD-LSTM,30.0091,0.2691,4.5484,1.2693,30
Scheme 1',CEEMDAN-ARIMA,23.6603,0.2202,8.1908,1.0326,30
Scheme 1',CEEMDAN-LSTM,-21.8179,-0.2289,29.9639,-1.0639,30
Scheme 1',Proposed,15.1784,0.1505,10.8707,0.701,30
Scheme 2,VMD-ARIMA,14.7211,0.2463,49.8568,0.3917,92
Scheme 2,VMD-LSTM,-52.4623,-0.6036,64.6692,-0.8962,102
Scheme 2,CEEMDAN-ARIMA,8.4349,0.2056,45.0913,0.3037,102
Scheme 2,CEEMDAN-LSTM,-70.6649,-1.082,76.5415,-1.6331,102
Scheme 2,Proposed,23.1753,0.2234,10.9347,0.8311,56
Scheme 2',VMD-ARIMA,43.7354,0.3651,3.3695,1.9698,27
Scheme 2',VMD-LSTM,30.0091,0.2691,4.5484,1.2693,30
Scheme 2',CEEMDAN-ARIMA,23.6603,0.2202,8.1908,1.0326,30
Scheme 2',CEEMDAN-LSTM,-21.8179,-0.2289,29.9639,-1.0639,30
Scheme 2',Proposed,7.7751,0.0832,10.8707,0.4295,29
