Model,Scheme,Cumulative Return (%),Avg Daily Return (%),Maximum Drawdown (%),Sharpe (annualised),N Trades
ES,1,-36.9839,-0.3316,-62.9186,-0.4817,102
ES,1',115.3844,0.8206,-11.2369,1.5594,25
ES,2,-34.5556,-0.2953,-62.9186,-0.4299,101
ES,2',115.3844,0.8206,-11.2369,1.5594,25
ARIMA,1,85.3794,0.7348,-30.8002,1.0792,102
ARIMA,1',115.3844,0.8206,-11.2369,1.5594,25
ARIMA,2,77.7205,0.6877,-30.8002,1.0339,82
ARIMA,2',115.3844,0.8206,-11.2369,1.5594,25
SVR,1,-72.2142,-1.1337,-78.4946,-1.6846,102
SVR,1',115.3844,0.8206,-11.2369,1.5594,25
SVR,2,-72.2142,-1.1337,-78.4946,-1.6846,102
SVR,2',115.3844,0.8206,-11.2369,1.5594,25
RF,1,-62.0528,-0.8284,-75.9725,-1.2164,102
RF,1',115.3844,0.8206,-11.2369,1.5594,25
RF,2,-62.0528,-0.8284,-75.9725,-1.2164,102
RF,2',115.3844,0.8206,-11.2369,1.5594,25
MLP,1,151.43,1.0337,-31.4565,1.536,102
MLP,1',115.3844,0.8206,-11.2369,1.5594,25
MLP,2,151.43,1.0337,-31.4565,1.536,102
MLP,2',115.3844,0.8206,-11.2369,1.5594,25
ELM,1,-72.2142,-1.1337,-78.4946,-1.6846,102
ELM,1',115.3844,0.8206,-11.2369,1.5594,25
ELM,2,-72.2142,-1.1337,-78.4946,-1.6846,102
ELM,2',115.3844,0.8206,-11.2369,1.5594,25
LSTM,1,-72.2142,-1.1337,-78.4946,-1.6846,102
LSTM,1',115.3844,0.8206,-11.2369,1.5594,25
LSTM,2,-72.2142,-1.1337,-78.4946,-1.6846,102
LSTM,2',115.3844,0.8206,-11.2369,1.5594,25
