date,mcx_silver
2015-01-05,38830.0
2015-01-06,39029.0
2015-01-07,39339.0
2015-01-08,39354.0
2015-01-09,39354.0
2015-01-12,39354.0
2015-01-13,38892.0
2015-01-14,39491.0
2015-01-15,39536.0
2015-01-16,39527.0
2015-01-19,39527.0
2015-01-20,39527.0
2015-01-21,39527.0
2015-01-22,39305.0
2015-01-23,39346.0
2015-01-26,39455.0
2015-01-27,39478.0
2015-01-28,39478.0
2015-01-29,39478.0
2015-01-30,39478.0
2015-02-02,39296.0
2015-02-03,39271.0
2015-02-04,39377.0
2015-02-05,39338.0
2015-02-06,39338.0
2015-02-09,39338.0
2015-02-10,39311.0
2015-02-11,39082.0
2015-02-12,38688.0
2015-02-13,37974.0
2015-02-16,37974.0
2015-02-17,37974.0
2015-02-18,37974.0
2015-02-19,37619.0
2015-02-20,37585.0
2015-02-23,36800.0
2015-02-24,36469.0
2015-02-25,36469.0
2015-02-26,36469.0
2015-02-27,37158.0
2015-03-02,36398.0
2015-03-03,36398.0
2015-03-04,36644.0
2015-03-05,36644.0
2015-03-06,36644.0
2015-03-09,36873.0
2015-03-10,37027.0
2015-03-11,37180.0
2015-03-12,37098.0
2015-03-13,37097.0
2015-03-16,37097.0
2015-03-17,37097.0
2015-03-18,37097.0
2015-03-19,37547.0
2015-03-20,37867.0
2015-03-23,38350.0
2015-03-24,38350.0
2015-03-25,38350.0
2015-03-26,38350.0
2015-03-27,38715.0
2015-03-30,38575.0
2015-03-31,38642.0
2015-04-01,38643.0
2015-04-02,38643.0
2015-04-03,38643.0
2015-04-06,38643.0
2015-04-07,38562.0
2015-04-08,38565.0
2015-04-09,38730.0
2015-04-10,38567.0
2015-04-13,38567.0
2015-04-14,38567.0
2015-04-15,38567.0
2015-04-16,38732.0
2015-04-17,38767.0
2015-04-20,38763.0
2015-04-21,38714.0
2015-04-22,38714.0
2015-04-23,38714.0
2015-04-24,38714.0
2015-04-27,38715.0
2015-04-28,39007.0
2015-04-29,39700.0
2015-04-30,39700.0
2015-05-01,39700.0
2015-05-04,39700.0
2015-05-05,39197.0
2015-05-06,39040.0
2015-05-07,39065.0
2015-05-08,39237.0
2015-05-11,39237.0
2015-05-12,39237.0
2015-05-13,39237.0
2015-05-14,38710.0
2015-05-15,38788.0
2015-05-18,37709.0
2015-05-19,37792.0
