date,High,Low
2014-12-08,36176.0,36142.0
2014-12-09,36370.0,36312.0
2014-12-10,37975.0,37633.0
2014-12-11,37825.0,37786.0
2014-12-12,37948.0,37828.0
2014-12-15,37965.0,37844.0
2014-12-16,36799.0,36688.0
2014-12-17,36317.0,36166.0
2014-12-18,36590.0,36396.0
2014-12-19,36265.0,36234.0
2014-12-22,36486.0,36430.0
2014-12-23,35883.0,35852.0
2014-12-24,35999.0,35991.0
2014-12-26,36962.0,36582.0
2014-12-29,36862.0,36762.0
2014-12-30,36191.0,36165.0
2014-12-31,36694.0,36519.0
2015-01-01,35753.0,35742.0
2015-01-02,35960.0,35886.0
2015-01-05,36386.0,36229.0
2015-01-06,36957.0,36838.0
2015-01-07,37079.0,37004.0
2015-01-08,36925.0,36646.0
2015-01-09,36506.0,36331.0
2015-01-12,36827.0,36644.0
2015-01-13,37483.0,37034.0
2015-01-14,37483.0,37483.0
2015-01-15,37513.0,36905.0
2015-01-16,37503.0,37417.0
2015-01-19,38740.0,38736.0
2015-01-20,39175.0,38805.0
2015-01-21,39809.0,39684.0
2015-01-22,39534.0,39306.0
2015-01-23,39677.0,39639.0
2015-01-27,39082.0,39040.0
2015-01-28,39198.0,39183.0
2015-01-29,38912.0,38602.0
2015-01-30,37495.0,37094.0
2015-02-02,37875.0,37872.0
2015-02-03,38862.0,38156.0
2015-02-04,38464.0,38032.0
2015-02-05,38340.0,38060.0
2015-02-06,38038.0,37991.0
2015-02-09,37783.0,37255.0
2015-02-10,37821.0,37440.0
2015-02-11,37658.0,37643.0
2015-02-12,37578.0,37199.0
2015-02-13,37638.0,37568.0
2015-02-16,38526.0,38509.0
2015-02-18,36781.0,36649.0
2015-02-19,36983.0,36869.0
2015-02-20,36704.0,36567.0
2015-02-23,36269.0,36153.0
2015-02-24,36435.0,36328.0
2015-02-25,36958.0,36782.0
2015-02-26,37095.0,36924.0
2015-02-27,36677.0,36565.0
2015-02-28,36603.0,36602.0
2015-03-02,37231.0,37128.0
2015-03-03,36683.0,36648.0
2015-03-04,36439.0,36361.0
2015-03-05,36337.0,36330.0
2015-03-09,35979.0,35972.0
2015-03-10,35610.0,35458.0
2015-03-11,35583.0,35449.0
2015-03-12,35284.0,35244.0
2015-03-13,35340.0,35240.0
2015-03-16,35494.0,35361.0
2015-03-17,35076.0,35070.0
2015-03-18,35053.0,34927.0
2015-03-19,35630.0,35580.0
2015-03-20,36136.0,36034.0
2015-03-23,37122.0,37073.0
2015-03-24,37698.0,37481.0
2015-03-25,37629.0,37466.0
2015-03-26,38208.0,38086.0
2015-03-27,38030.0,37944.0
2015-03-30,37462.0,37376.0
2015-03-31,36983.0,36761.0
2015-04-01,36988.0,36916.0
2015-04-06,38030.0,37945.0
2015-04-07,37522.0,37437.0
2015-04-08,37506.0,37458.0
2015-04-09,36289.0,36277.0
2015-04-10,36803.0,36311.0
2015-04-13,36582.0,36486.0
2015-04-15,36357.0,36138.0
2015-04-16,36655.0,36650.0
2015-04-17,36632.0,36374.0
2015-04-20,36519.0,36465.0
2015-04-21,36092.0,35997.0
2015-04-22,36189.0,36123.0
2015-04-23,35911.0,35751.0
2015-04-24,36104.0,36076.0
2015-04-27,36088.0,36010.0
2015-04-28,37043.0,36965.0
2015-04-29,37218.0,37163.0
2015-04-30,37454.0,37325.0
2015-05-05,37226.0,37089.0
2015-05-06,37514.0,37288.0
2015-05-07,37319.0,37301.0
2015-05-08,37382.0,37326.0
2015-05-11,37434.0,37360.0
2015-05-12,37690.0,37282.0
2015-05-13,38000.0,37997.0
2015-05-14,39203.0,38979.0
2015-05-15,39129.0,39000.0
2015-05-18,39963.0,39920.0
2015-05-19,39467.0,39409.0
2015-05-20,38844.0,38520.0
2015-05-21,38843.0,38820.0
2015-05-22,38954.0,38846.0
2015-05-25,38607.0,38503.0
2015-05-26,38247.0,38207.0
2015-05-27,38153.0,38026.0
2015-05-28,37980.0,37934.0
2015-05-29,38013.0,38003.0
2015-06-01,37838.0,37804.0
2015-06-02,38053.0,37993.0
2015-06-03,38075.0,37838.0
2015-06-04,37520.0,37518.0
2015-06-05,36824.0,36715.0
2015-06-08,36917.0,36836.0
2015-06-09,36832.0,36748.0
