cumulative_return_pct,annualized_sharpe,max_drawdown_pct,n_trades,blocked_days,total_days,blocked_ratio_pct,hit_rate_active_pct,asset,window_id,start_date,end_date
15.9077,3.9224,-0.9139,14,64,90,71.11,38.46,silver,1,2024-03-04,2024-07-05
29.1322,5.1792,-1.2594,23,47,90,52.22,48.84,silver,2,2024-04-15,2024-08-16
25.3325,4.8414,-1.2594,22,48,90,53.33,47.62,silver,3,2024-05-27,2024-09-27
20.6233,4.7194,-1.2594,18,56,90,62.22,58.82,silver,4,2024-07-08,2024-11-08
18.2737,3.7508,-0.8378,13,63,90,70.0,44.44,silver,5,2024-08-19,2024-12-20
23.0754,4.3565,-0.8378,20,51,90,56.67,43.59,silver,6,2024-09-30,2025-01-31
23.8446,4.4379,-0.3085,19,49,90,54.44,39.02,silver,7,2024-11-11,2025-03-14
13.3699,4.3091,-0.3003,12,59,90,65.56,41.94,silver,8,2024-12-23,2025-04-25
8.9469,3.6393,-0.3003,6,71,90,78.89,42.11,silver,9,2025-02-03,2025-06-06
2.9456,2.5332,-0.05,4,87,90,96.67,100.0,silver,10,2025-03-17,2025-07-18
2.9456,2.5332,-0.05,4,87,90,96.67,100.0,silver,11,2025-04-28,2025-08-29
5.9313,2.8296,-0.05,5,86,90,95.56,100.0,silver,12,2025-06-09,2025-10-10
7.3932,2.2882,-0.1499,5,86,90,95.56,50.0,silver,13,2025-07-21,2025-11-21
7.3932,2.2882,-0.1499,5,86,90,95.56,50.0,silver,14,2025-09-01,2026-01-02
4.3664,1.626,-0.1499,4,87,90,96.67,33.33,silver,15,2025-10-13,2026-02-13
22.0359,2.6044,-0.1499,11,83,90,92.22,57.14,silver,16,2025-11-24,2026-03-27
