Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe (annualised),N Trades,N Blocked,Hit Rate (%)
VMD-ARIMA,1,22980.3609,-2.1378,7.6553,182,0,90.32
VMD-ARIMA,1',143.9644,-0.7984,3.2618,69,425,89.71
VMD-ARIMA,2,23164.7496,-2.1378,7.6694,213,0,91.33
VMD-ARIMA,2',143.592,-0.7984,3.2565,74,425,91.94
VMD-LSTM,1,-69.144,-80.1511,-1.2643,1,0,37.74
VMD-LSTM,1',-10.0964,-19.2516,-0.3024,42,425,39.71
VMD-LSTM,2,-69.144,-80.1511,-1.2643,1,0,37.74
VMD-LSTM,2',-10.0964,-19.2516,-0.3024,42,425,39.71
CEEMDAN-ARIMA,1,95.964,-46.4307,1.009,26,0,54.84
CEEMDAN-ARIMA,1',12.391,-13.4603,0.4726,50,425,58.82
CEEMDAN-ARIMA,2,93.8098,-46.4307,0.9955,28,0,54.69
CEEMDAN-ARIMA,2',11.1561,-13.4603,0.4346,50,425,58.21
CEEMDAN-LSTM,1,-66.5497,-78.8874,-1.1641,16,0,38.71
CEEMDAN-LSTM,1',-1.3001,-18.5651,0.021,47,425,44.12
CEEMDAN-LSTM,2,-66.5497,-78.8874,-1.1641,16,0,38.71
CEEMDAN-LSTM,2',-1.3001,-18.5651,0.021,47,425,44.12
Proposed,1,10316.8395,-6.5004,6.3343,173,0,82.58
Proposed,1',133.611,-1.2594,3.0915,69,425,80.88
Proposed,2,10925.4623,-5.6763,6.4773,182,0,83.17
Proposed,2',132.6081,-1.2594,3.0764,68,425,80.3
