Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe (annualised),N Trades,N Blocked,Hit Rate (%)
ES,1,-69.144,-80.1511,-1.2643,1,0,37.74
ES,1',-10.0964,-19.2516,-0.3024,42,425,39.71
ES,2,-69.144,-80.1511,-1.2643,1,0,37.74
ES,2',-10.0964,-19.2516,-0.3024,42,425,39.71
ELM,1,-67.8289,-79.7305,-1.2125,3,0,38.39
ELM,1',-10.0964,-19.2516,-0.3024,42,425,39.71
ELM,2,-67.8289,-79.7305,-1.2125,3,0,38.39
ELM,2',-10.0964,-19.2516,-0.3024,42,425,39.71
SVR,1,-67.8289,-79.7305,-1.2125,3,0,38.39
SVR,1',-10.0964,-19.2516,-0.3024,42,425,39.71
SVR,2,-67.8289,-79.7305,-1.2125,3,0,38.39
SVR,2',-10.0964,-19.2516,-0.3024,42,425,39.71
RF,1,-68.6466,-79.9912,-1.2445,3,0,38.06
RF,1',-10.0964,-19.2516,-0.3024,42,425,39.71
RF,2,-68.6466,-79.9912,-1.2445,3,0,38.06
RF,2',-10.0964,-19.2516,-0.3024,42,425,39.71
ARIMA,1,0.0,0.0,0.0,0,0,
ARIMA,1',0.0,0.0,0.0,0,425,
ARIMA,2,0.0,0.0,0.0,0,0,
ARIMA,2',0.0,0.0,0.0,0,425,
MLP,1,-77.1348,-80.6546,-1.6347,4,0,38.71
MLP,1',-9.4023,-14.9382,-0.2756,42,425,42.65
MLP,2,-77.1348,-80.6546,-1.6347,4,0,38.71
MLP,2',-9.4023,-14.9382,-0.2756,42,425,42.65
LSTM,1,-68.6466,-79.9912,-1.2445,3,0,38.06
LSTM,1',-10.0964,-19.2516,-0.3024,42,425,39.71
LSTM,2,-68.6466,-79.9912,-1.2445,3,0,38.06
LSTM,2',-10.0964,-19.2516,-0.3024,42,425,39.71
