,ES,ELM,SVR,RF,ARIMA,MLP,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,1.0,1.0,1.0,1.0,0.0607,1.0,1.0,1.0,1.0,1.0,1.0
ELM,0.0,,1.0,0.0,1.0,0.0208,1.0,1.0,0.0,0.9999,0.0,1.0
SVR,0.0,0.0,,0.0,1.0,0.0204,0.0,1.0,0.0,0.9999,0.0,1.0
RF,0.0,1.0,1.0,,1.0,0.021,1.0,1.0,0.0,1.0,0.0001,1.0
ARIMA,0.0,0.0,0.0,0.0,,0.0191,0.0,0.9631,0.0,0.0002,0.0,0.9586
MLP,0.9393,0.9792,0.9796,0.979,0.9809,,0.9794,0.9809,0.9785,0.9806,0.9786,0.9809
LSTM,0.0,0.0,1.0,0.0,1.0,0.0206,,1.0,0.0,0.9999,0.0,1.0
VMD-ARIMA,0.0,0.0,0.0,0.0,0.0369,0.0191,0.0,,0.0,0.0002,0.0,0.033
VMD-LSTM,0.0,1.0,1.0,1.0,1.0,0.0215,1.0,1.0,,1.0,0.9979,1.0
CEEMDAN-ARIMA,0.0,0.0001,0.0001,0.0,0.9998,0.0194,0.0001,0.9998,0.0,,0.0,0.9998
CEEMDAN-LSTM,0.0,1.0,1.0,0.9999,1.0,0.0214,1.0,1.0,0.0021,1.0,,1.0
Proposed,0.0,0.0,0.0,0.0,0.0414,0.0191,0.0,0.967,0.0,0.0002,0.0,
