,ES,ELM,SVR,RF,ARIMA,MLP,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,-7.166,-7.1091,-7.178,-6.853,1.5515,-7.108,-6.8508,-7.1582,-6.8556,-7.2483,-6.8514
ELM,7.166,,-4.517,5.1076,-4.0784,2.0431,-4.8457,-4.0692,7.1079,-3.9004,4.7901,-4.0722
SVR,7.1091,4.517,,4.9359,-3.9589,2.0495,-6.1833,-3.9481,6.0366,-3.737,4.7442,-3.9517
RF,7.178,-5.1076,-4.9359,,-4.2463,2.039,-5.1663,-4.2376,6.9346,-4.0897,4.2346,-4.2404
ARIMA,6.853,4.0784,3.9589,4.2463,,2.0786,3.8489,-1.7908,4.6797,3.533,4.2942,-1.7368
MLP,-1.5515,-2.0431,-2.0495,-2.039,-2.0786,,-2.0516,-2.0788,-2.0274,-2.0721,-2.029,-2.0788
LSTM,7.108,4.8457,6.1833,5.1663,-3.8489,2.0516,,-3.8386,6.0698,-3.6011,4.8636,-3.8421
VMD-ARIMA,6.8508,4.0692,3.9481,4.2376,1.7908,2.0788,3.8386,,4.6692,3.5132,4.2867,1.8445
VMD-LSTM,7.1582,-7.1079,-6.0366,-6.9346,-4.6797,2.0274,-6.0698,-4.6692,,-4.5874,-0.6049,-4.6725
CEEMDAN-ARIMA,6.8556,3.9004,3.737,4.0897,-3.533,2.0721,3.6011,-3.5132,4.5874,,4.1758,-3.5271
CEEMDAN-LSTM,7.2483,-4.7901,-4.7442,-4.2346,-4.2942,2.029,-4.8636,-4.2867,0.6049,-4.1758,,-4.2891
Proposed,6.8514,4.0722,3.9517,4.2404,1.7368,2.0788,3.8421,-1.8445,4.6725,3.5271,4.2891,
