Scheme,Model,Cumulative Return (%),Avg Daily Return (%),Max Drawdown (%),Sharpe (annualised),N Transactions
Scheme 1,VMD-ARIMA,19.1738,0.322,40.4973,0.4219,105
Scheme 1,VMD-LSTM,44.907,0.5029,36.5758,0.6607,105
Scheme 1,CEEMDAN-ARIMA,43.8655,0.5014,45.3313,0.6588,105
Scheme 1,CEEMDAN-LSTM,63.1177,0.6157,26.5839,0.8109,105
Scheme 1,Proposed,185.1632,1.1429,32.5203,1.5303,105
Scheme 1',VMD-ARIMA,19.1738,0.322,40.4973,0.4219,105
Scheme 1',VMD-LSTM,44.907,0.5029,36.5758,0.6607,105
Scheme 1',CEEMDAN-ARIMA,43.8655,0.5014,45.3313,0.6588,105
Scheme 1',CEEMDAN-LSTM,63.1177,0.6157,26.5839,0.8109,105
Scheme 1',Proposed,185.1632,1.1429,32.5203,1.5303,105
Scheme 2,VMD-ARIMA,52.7906,0.5358,30.4282,0.761,97
Scheme 2,VMD-LSTM,50.421,0.5378,34.1624,0.7085,104
Scheme 2,CEEMDAN-ARIMA,38.6778,0.466,45.3313,0.6128,103
Scheme 2,CEEMDAN-LSTM,52.3641,0.5468,32.2015,0.7295,103
Scheme 2,Proposed,185.0362,1.1338,32.5203,1.5651,101
Scheme 2',VMD-ARIMA,52.7906,0.5358,30.4282,0.761,97
Scheme 2',VMD-LSTM,50.421,0.5378,34.1624,0.7085,104
Scheme 2',CEEMDAN-ARIMA,38.6778,0.466,45.3313,0.6128,103
Scheme 2',CEEMDAN-LSTM,52.3641,0.5468,32.2015,0.7295,103
Scheme 2',Proposed,185.0362,1.1338,32.5203,1.5651,101
