Scheme,Model,Cumulative Return (%),Avg Daily Return (%),Max Drawdown (%),Sharpe (annualised),N Transactions
Scheme 1,ES,75.1521,0.6884,38.7081,0.9081,105
Scheme 1,ARIMA,0.0,0.0,0.0,0.0,0
Scheme 1,SVR,-65.305,-0.9039,71.6304,-1.4711,98
Scheme 1,RF,-65.9329,-0.8727,77.3189,-1.1832,102
Scheme 1,MLP,649.8843,2.0699,22.4775,2.931,105
Scheme 1,ELM,-50.4351,-0.5152,65.6836,-0.6759,105
Scheme 1,LSTM,-68.5085,-0.9463,76.6844,-1.2537,105
Scheme 1',ES,75.1521,0.6884,38.7081,0.9081,105
Scheme 1',ARIMA,0.0,0.0,0.0,0.0,0
Scheme 1',SVR,-65.305,-0.9039,71.6304,-1.4711,98
Scheme 1',RF,-65.9329,-0.8727,77.3189,-1.1832,102
Scheme 1',MLP,649.8843,2.0699,22.4775,2.931,105
Scheme 1',ELM,-50.4351,-0.5152,65.6836,-0.6759,105
Scheme 1',LSTM,-68.5085,-0.9463,76.6844,-1.2537,105
Scheme 2,ES,75.1521,0.6884,38.7081,0.9081,105
Scheme 2,ARIMA,0.0,0.0,0.0,0.0,0
Scheme 2,SVR,-22.8307,-0.1862,39.1634,-0.384,60
Scheme 2,RF,-57.5562,-0.7124,69.9196,-1.1646,74
Scheme 2,MLP,681.4344,2.1084,22.4775,3.004,103
Scheme 2,ELM,-49.6781,-0.5009,65.6836,-0.6572,104
Scheme 2,LSTM,-62.0974,-0.7935,69.7565,-1.1378,94
Scheme 2',ES,75.1521,0.6884,38.7081,0.9081,105
Scheme 2',ARIMA,0.0,0.0,0.0,0.0,0
Scheme 2',SVR,-22.8307,-0.1862,39.1634,-0.384,60
Scheme 2',RF,-57.5562,-0.7124,69.9196,-1.1646,74
Scheme 2',MLP,681.4344,2.1084,22.4775,3.004,103
Scheme 2',ELM,-49.6781,-0.5009,65.6836,-0.6572,104
Scheme 2',LSTM,-62.0974,-0.7935,69.7565,-1.1378,94
