Model,Scheme,Cumulative Return (%),Avg Daily Return (%),Maximum Drawdown (%),Sharpe (annualised),N Trades
VMD-ARIMA,1,1370.5679,2.7475,-7.9086,4.8197,102
VMD-ARIMA,1',115.3844,0.8206,-11.2369,1.5594,25
VMD-ARIMA,2,1360.2183,2.7406,-7.9086,4.8027,100
VMD-ARIMA,2',115.3844,0.8206,-11.2369,1.5594,25
VMD-LSTM,1,-72.2142,-1.1337,-78.4946,-1.6846,102
VMD-LSTM,1',115.3844,0.8206,-11.2369,1.5594,25
VMD-LSTM,2,-72.2142,-1.1337,-78.4946,-1.6846,102
VMD-LSTM,2',115.3844,0.8206,-11.2369,1.5594,25
CEEMDAN-ARIMA,1,63.3449,0.5994,-30.0933,0.8767,102
CEEMDAN-ARIMA,1',115.3844,0.8206,-11.2369,1.5594,25
CEEMDAN-ARIMA,2,63.3449,0.5994,-30.0933,0.8767,102
CEEMDAN-ARIMA,2',115.3844,0.8206,-11.2369,1.5594,25
CEEMDAN-LSTM,1,-72.2142,-1.1337,-78.4946,-1.6846,102
CEEMDAN-LSTM,1',115.3844,0.8206,-11.2369,1.5594,25
CEEMDAN-LSTM,2,-72.2142,-1.1337,-78.4946,-1.6846,102
CEEMDAN-LSTM,2',115.3844,0.8206,-11.2369,1.5594,25
Proposed,1,180.7843,1.1294,-22.7618,1.686,102
Proposed,1',115.3844,0.8206,-11.2369,1.5594,25
Proposed,2,184.6126,1.1422,-22.7618,1.7098,100
Proposed,2',115.3844,0.8206,-11.2369,1.5594,25
