,ES,ARIMA,SVR,RF,MLP,ELM,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,0.9578,0.0002,0.0087,0.7546,0.0009,0.0,0.9579,0.0039,0.5773,0.0028,0.9572
ARIMA,0.0422,,0.0013,0.0176,0.0355,0.0034,0.0,0.9224,0.0104,0.002,0.0103,0.2074
SVR,0.9998,0.9987,,1.0,0.9991,0.999,0.0,0.9986,1.0,0.9982,1.0,0.9987
RF,0.9913,0.9824,0.0,,0.9746,0.0001,0.0,0.982,0.0001,0.9562,0.0131,0.9824
MLP,0.2454,0.9645,0.0009,0.0254,,0.0032,0.0,0.9631,0.0124,0.2465,0.0116,0.9582
ELM,0.9991,0.9966,0.001,0.9999,0.9968,,0.0,0.9964,0.9991,0.9942,0.9989,0.9966
LSTM,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
VMD-ARIMA,0.0421,0.0776,0.0014,0.018,0.0369,0.0036,0.0,,0.0108,0.0027,0.0108,0.0478
VMD-LSTM,0.9961,0.9896,0.0,0.9999,0.9876,0.0009,0.0,0.9892,,0.9781,0.963,0.9896
CEEMDAN-ARIMA,0.4227,0.998,0.0018,0.0438,0.7535,0.0058,0.0,0.9973,0.0219,,0.0233,0.9983
CEEMDAN-LSTM,0.9972,0.9897,0.0,0.9869,0.9884,0.0011,0.0,0.9892,0.037,0.9767,,0.9897
Proposed,0.0428,0.7926,0.0013,0.0176,0.0418,0.0034,0.0,0.9522,0.0104,0.0017,0.0103,
