,ES,ARIMA,SVR,RF,MLP,ELM,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,0.0844,0.0004,0.0173,0.4909,0.0019,0.0,0.0842,0.0079,0.8455,0.0056,0.0855
ARIMA,0.0844,,0.0026,0.0352,0.0709,0.0068,0.0,0.1553,0.0208,0.004,0.0206,0.4149
SVR,0.0004,0.0026,,0.0,0.0019,0.0021,0.0,0.0027,0.0,0.0036,0.0,0.0025
RF,0.0173,0.0352,0.0,,0.0509,0.0003,0.0,0.0359,0.0002,0.0877,0.0262,0.0352
MLP,0.4909,0.0709,0.0019,0.0509,,0.0063,0.0,0.0738,0.0248,0.4931,0.0232,0.0835
ELM,0.0019,0.0068,0.0021,0.0003,0.0063,,0.0,0.0071,0.0017,0.0116,0.0022,0.0067
LSTM,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
VMD-ARIMA,0.0842,0.1553,0.0027,0.0359,0.0738,0.0071,0.0,,0.0215,0.0054,0.0215,0.0955
VMD-LSTM,0.0079,0.0208,0.0,0.0002,0.0248,0.0017,0.0,0.0215,,0.0438,0.074,0.0208
CEEMDAN-ARIMA,0.8455,0.004,0.0036,0.0877,0.4931,0.0116,0.0,0.0054,0.0438,,0.0466,0.0035
CEEMDAN-LSTM,0.0056,0.0206,0.0,0.0262,0.0232,0.0022,0.0,0.0215,0.074,0.0466,,0.0206
Proposed,0.0855,0.4149,0.0025,0.0352,0.0835,0.0067,0.0,0.0955,0.0208,0.0035,0.0206,
